thousand,千、千の,せん、せんの
snake,蛇,へび
masterpiece,傑作、名作,けっさく、めいさく
punish,を罰する、懲らしめる,をばつする、こらしめる
athlete,スポーツ選手,すぽーつせんしゅ
play at,起用する、遊ぶ,きようする、あそぶ
profession,職業、専門職,しょくぎょう、せんもんしょく
tumble,転落する、倒れる,てんらくする、たおれる
suppression,抑制、鎮圧,よくせい、ちんあつ
expound,解説する,かいせつする
yet,まだ 今のところは,まだ いまのところは
sporadic,散発的な,さんぱつてきな
conciliate,調停する,ちょうていする
recovery,回復、復元,かいふく、ふくげん
direct A to B,AにBへの道を教える、AをBへ誘導する,AにBへのみちをおしえる、AをBへゆうどうする
exclusion,除外、排除、締め出し,じょがい、はいじょ、しめだし
for the purpose of,の目的で、を目的に,のもくてきで、をもくてきに
technician,技術者、専門的な技能を持つ人。特に機械や電気機器などの専門家。,ぎじゅつしゃ、せんもんてきなぎのうをもつにん。とくにきかいやでんきききなどのせんもんか。
all thumbs,手先が不器用な、ぶざまな,てさきがぶきような、ぶざまな
get on one 's nerves,人の神経にさわる,にんのしんけいにさわる
caliber,口径、直径,こうけい、ちょっけい
office,事務所。仕事をする場所、オフィス。,じむしょ。しごとをするばしょ、おふぃす。
environmental,環境の、自然環境の,かんきょうの、しぜんかんきょうの
would rather than,むしろ～したい,むしろ~したい
hold over,を持ち越す、延期する,をもちこす、えんきする
on trial,試用中で、審理中で,しようなかで、しんりなかで
algebra,代数,だいすう
do one's best,最善を尽くす,さいぜんをつくす
trough,水桶,みずおけ
bother,面倒、迷惑をかける,めんどう、めいわくをかける
normally,通常は、普通に,つうじょうは、ふつうに
instruct,知識や技能を教える。,ちしきやぎのうをおしえる。
supplement,追加の情報や物、補足。,ついかのじょうほうやもの、ほそく。
aid,援助、支援する,えんじょ、しえんする
belong to,に属している,にぞくしている
a pair of,一組の,ひとくみの
trace,跡を追う、起源を調べる,あとをおう、きげんをしらべる
extinct,絶滅した、滅びた,ぜつめつした、ほろびた
see,分かる,わかる
subsistence,生計,せいけい
cloth,服,ふく
sprawl,寝そべる,ねそべる
dialect,方言、地域特有の言語,ほうげん、ちいきとくゆうのげんご
preference,好み、選好すること。,このみ、せんこうすること。
clutter,物が散らかった状態,ものがちらかったじょうたい
glint,きらめく,きらめく
huge,巨大な、広大な,きょだいな、こうだいな
principle,原理、原則、道徳基準,げんり、げんそく、どうとくきじゅん
dehydrate,脱水する、水を抜く,だっすいする、みずをぬく
disrupt,混乱させる,こんらんさせる
meanwhile,一方で。その間に、一方では。,いっぽうで。そのまに、いっぽうでは。
ups and downs,浮き沈み、上昇と下降,うきしずみ、じょうしょうとかこう
psychological,心理的な、精神的な。心や精神に関連すること。,しんりてきな、せいしんてきな。こころやせいしんにかんれんすること。
fend off,防ぐ、避ける,ふせぐ、さける
deprive A of B,AからBを奪う,AからBをうばう
metro,地下鉄,ちかてつ
instrumental,重要な役割を果たす、助けになる。,じゅうようなやくわりをはたす、たすけになる。
tolerate,に耐える、寛大に取り扱う,にたえる、かんだいにとりあつかう
fill in,に必要事項を記入する,にひつようじこうをきにゅうする
burrow,隠れ場所、隠れ家,かくればしょ、かくれいえ
press,を押す、マスコミ。何かを押すこと、または新聞やテレビなどのマスコミ。,をおす、ますこみ。なにかをおすこと、またはしんぶんやてれびなどのますこみ。
parking,駐車場、停車場,ちゅうしゃじょう、ていしゃば
go mad,頭がおかしくなる,あたまがおかしくなる
hand over,を引き渡す,をひきわたす
anticipation,予期、期待、予測,よき、きたい、よそく
be contrary to,に反している,にはんしている
back down,手を引く、引き下がる,てをひく、ひきさがる
renege,誓いに背く,ちかいにそむく
anorexia,拒食症,きょしょくしょう
water down,水で薄める、和らげる,みずでうすめる、やわらげる
quell,鎮める、落ち着かせる,つつしめる、おちつかせる
intrepid,勇敢な,ゆうかんな
attachment,何かに付け加えられるもの。,なにかにつけくわえられるもの。
get used to,慣れる、習慣づく,なれる、しゅうかんづく
divulge,漏らす、暴露する,もらす、ばくろする
pay attention,注意を払う。,ちゅういをはらう。
institute,研究や教育を行う所。,けんきゅうやきょういくをおこなうところ。
fortune,幸運、または財産のこと。,こううん、またはざいさんのこと。
employee,従業員、社員。,じゅうぎょういん、しゃいん。
terse,簡潔な,かんけつな
awareness,知識や理解の程度。,ちしきやりかいのていど。
calculate,数字を使って計算する、見積もる。,すうじをつかってけいさんする、みつもる。
and yet,それなのに、尚且つ,それなのに、たかしかつ
data preprocessing,データ前処理。生データを分析や学習に適した形に整形すること。,でーたまえしょり。なまでーたをぶんせきやがくしゅうにてきしたかたちにせいけいすること。
none the more,それでもなお、それにも関わらず,それでもなお、それにもかかわらず
fiat,命令、指令や要求,めいれい、しれいやようきゅう
attend,出席する、または参加する。会議やイベントに顔を出すことを指します。,しゅっせきする、またはさんかする。かいぎやいべんとにかおをだすことをさします。
back up,を後援する、後退させる,をこうえんする、こうたいさせる
follow suit,先例に従う,せんれいにしたがう
long time no see,久しぶり,ひさしぶり
make up for,の埋め合わせをする,のうめあわせをする
in recognition of,の認識で、理解して,のにんしきで、りかいして
callous,硬くなった,かたくなった
senator,上院議員(米国など),じょういんぎいん(べいこくなど)
last,持続する、長持ちする。,じぞくする、ながもちする。
fluent,流暢な、スムーズな話し方,りゅうちょうな、すむーずなはなしかた
in the pipeline,進行中で,しんこうちゅうで
superfluous,余計な、過剰な,よけいな、かじょうな
drop,落ちる,おちる
register for,に登録する、に記録する、に記載する,にとうろくする、にきろくする、にきさいする
watch step,足元に注意する,あしもとにちゅういする
laundry,洗濯をする場所や洗濯物。,せんたくをするばしょやせんたくもの。
flow,流れる、動きや流れ。,ながれる、うごきやながれ。
drain,排出させる、排水をする,はいしゅつさせる、はいすいをする
be caught in,に捕まる,につかまる
heel,かかと、きびす,かかと、きびす
depth,深さ,ふかさ
eligibility,適格性、妥当性,てきかくせい、だとうせい
tentacle,触手,しょくしゅ
collision,衝突、対立,しょうとつ、たいりつ
Let me,させてください,させてください
study,勉強する,べんきょうする
trivial,取るに足らない,とるにたらない
predatory,肉食の,にくしょくの
detain,を引き留める、留め置く,をひきとどめる、とめおく
origin,起源、発祥、原点,きげん、はっしょう、げんてん
decadent,堕落した、衰退した,だらくした、すいたいした
coastal,湾岸の、海岸の,わんがんの、かいがんの
plastic bag,ビニール袋、プラスチック袋,びにーるふくろ、ぷらすちっくふくろ
speak ill of,の悪口を言う、を悪く言う,のわるくちをいう、をわるくいう
mountain,山,やま
trade,surplus 貿易黒字。輸出額が輸入額を上回る状態。,surplus ぼうえきくろじ。ゆしゅつひたいがゆにゅうひたいをうわまわるじょうたい。
jump on the bandwagon,流行に乗る、人気のものに飛びつく,りゅうこうにのる、にんきのものにとびつく
detailed,詳細な、綿密な。細かい部分まで行き届いた。,しょうさいな、めんみつな。こまかいぶぶんまでいきとどいた。
flatten,平らにする、押しつぶす,たいらにする、おしつぶす
apply,適用する。特定の規則や方法を実行したり、適用範囲を広げることを意味します。,てきようする。とくていのきそくやほうほうをじっこうしたり、てきようはんいをひろげることをいみします。
daze,目をくらます,めをくらます
fury,激怒,げきど
cadence,韻律,いんりつ
immutable,不変の、永遠の,ふへんの、えいえんの
see in,案内して部屋に入れる、迎える,あんないしてへやにいれる、むかえる
farm,農場,のうじょう
lifelike,生きてるような、生き写しの,いきてるような、いきうつしの
advocate,支持する、提唱する、擁護する,しじする、ていしょうする、ようごする
set off,を引き起こす、招く、原因となる,をひきおこす、まねく、げんいんとなる
convent,修道院、僧院,しゅうどういん、そういん
stroke,打撃、衝撃,だげき、しょうげき
cooperative,協力的な、協同の,きょうりょくてきな、きょうどうの
obsession,強迫観念、執着、こだわり。,きょうはくかんねん、しゅうちゃく、こだわり。
hyperparameter,ハイパーパラメータ。学習アルゴリズムの制御パラメータ。,はいぱーぱらめーた。がくしゅうあるごりずむのせいぎょぱらめーた。
wobble,ぐらぐらする、揺れる,ぐらぐらする、ゆれる
friction,摩擦、不和,まさつ、ふわ
widespread,広範囲に広がる。,こうはんいにひろがる。
difficult,難しい,むずかしい
fatigue,体力や気力の疲労、消耗。,たいりょくやきりょくのひろう、しょうもう。
merciful,慈悲深い,じひふかい
strictly speaking,厳密に言えば、正確には,げんみつにいえば、せいかくには
protectionism,保護主義。自国産業を守るための政策。,ほごしゅぎ。じこくさんぎょうをまもるためのせいさく。
outfit,特定の目的や場面に合わせた衣装や服装。,とくていのもくてきやばめんにあわせたいしょうやふくそう。
batch,一度に処理するひとまとめ。,いちどにしょりするひとまとめ。
agriculture,農業、農学、農耕。,のうぎょう、のうがく、のうこう。
vomit,吐く/嘔吐,はく/おうと
genetic,遺伝的な、遺伝による,いでんてきな、いでんによる
in the beginning,初めのうちは,はじめのうちは
mull over,よく考える、熟考する,よくかんがえる、じゅっこうする
subversive,破壊する、壊す,はかいする、こわす
propriety,礼儀、可否,れいぎ、かひ
lesion,傷害,しょうがい
document,書類。情報を記録した紙や電子ファイル。例 a legal document(法的な書類),しょるい。じょうほうをきろくしたかみやでんしふぁいる。れい a legal document(ほうてきなしょるい)
detective,探偵、刑事、捜査官,たんてい、けいじ、そうさかん
elevate,上げる、昇進させる,あげる、しょうしんさせる
upscale,高級な,こうきゅうな
evacuate,避難する、逃避する,ひなんする、とうひする
export,物品を輸出すること。,ぶっぴんをゆしゅつすること。
retirement,退職、引退、年金生活,たいしょく、いんたい、ねんきんせいかつ
blink,まばたきすること。目を閉じる。,まばたきすること。めをとじる。
criterion,判断基準、規準,はんだんきじゅん、きじゅん
arousal,覚醒,かくせい
cough,咳払いする/咳,せきはらいする/せき
spiral,螺旋の,らせんの
package,包み、小包、梱包、パッケージ,つつみ、こづつみ、こんぽう、ぱっけーじ
restriction,制限、規制、制約。,せいげん、きせい、せいやく。
scholarship,奨学金、育英資金,しょうがくきん、いくえいしきん
let on,漏らす、白状する,もらす、はくじょうする
electronics,電気,でんき
poignant,強烈な、極端な,きょうれつな、きょくたんな
adjustment,状況に応じた調整作業。,じょうきょうにおうじたちょうせいさぎょう。
inside,中身、内部,なかみ、ないぶ
alleged,申し立てられた、容疑の,もうしたてられた、ようぎの
be incongruous with,と矛盾する、と不一致である,とむじゅんする、とふいっちである
along with,に沿って、従って、伴って,にそって、したがって、ともなって
bottom out,底をつく、底値に達する,そこをつく、そこねにたっする
what to,何をすべきか,なにをすべきか
wallet,さいふ,さいふ
in tough,苦労して、厳しい,くろうして、いかめしい
volatile,揮発性の、揮発する,きはつせいの、きはつする
abound,たくさんいる、多い,たくさんいる、おおい
equilibrium,均衡、つり合い,きんこう、つりあい
ultimatum,最終通告,さいしゅうつうこく
ruefully,悲しそうに,かなしそうに
interstellar,星間の,せいかんの
fertilizer,肥料、農作物の栄養剤,ひりょう、のうさくぶつのえいようざい
valiant,勇敢な、勇ましい,ゆうかんな、いさましい
procurement,必要な物資の調達活動。,ひつようなぶっしのちょうたつかつどう。
at the latest,遅くとも,おそくとも
employer,雇用者、雇い主、会社。,こようしゃ、やといぬし、かいしゃ。
acknowledged,正式に認めた状態。,せいしきにみとめたじょうたい。
way to go,良い調子、順調な状態,よいちょうし、じゅんちょうなじょうたい
plaintiff,原告、訴訟提起者,げんこく、そしょうていきもの
found,設立する、創立する。,せつりつする、そうりつする。
pastime,娯楽、暇つぶし,ごらく、ひまつぶし
translucent,半透明の、透けて見える,はんとうめいの、すけてみえる
playoff,決勝戦または試合,けっしょうせんまたはしあい
calamity,災害,さいがい
sensible,分別のある、賢明な,ふんべつのある、けんめいな
daft,まぬけの,まぬけの
chaff,もみ殻,もみから
guilty,有罪の、罪を犯した,ゆうざいの、つみをおかした
gallant,勇敢な、勇気のある,ゆうかんな、ゆうきのある
sing,歌う,うたう
in a passion,情熱を持って、熱心に,じょうねつをもって、ねっしんに
ventilate,換気する,かんきする
regulatory,規制、制限,きせい、せいげん
expertise,専門知識、熟練,せんもんちしき、じゅくれん
alumnus,卒業生、卒業した人,そつぎょうせい、そつぎょうしたにん
coup,クーデター、政権転覆,くーでたー、せいけんてんぷく
partly,部分的に、一部分,ぶぶんてきに、いちぶぶん
mary,女性名、定番,じょせいめい、ていばん
enemy,敵,てき
glitter,きらきら輝く,きらきらかがやく
existential,実存の、存在する,じつぞんの、そんざいする
continuum,連続体、途切れることなく続くもの,れんぞくたい、とぎれることなくつづくもの
disease,病気、疾病、症状。,びょうき、しっぺい、しょうじょう。
adrift,漂流して、漂う、流されている,ひょうりゅうして、ただよう、ながされている
wane,欠ける、不足している、欠損している,かける、ふそくしている、けっそんしている
breakfast,朝食,ちょうしょく
feedback,反応や意見のこと。,はんのうやいけんのこと。
rational,理性的な、合理的な,りせいてきな、ごうりてきな
cramp,けいれん、引きつれ,けいれん、ひきつれ
grateful,感謝して、恩恵を感じている状態。,かんしゃして、おんけいをかんじているじょうたい。
stutter,口ごもる、話すのをためらう、言葉に詰まる,くちごもる、はなすのをためらう、ことばにつまる
stalemate,行き詰まり,いきつまり
besides,その上 さらに,そのうえ さらに
frank,率直な。隠し立てせずに素直に意見を述べることを意味します。,そっちょくな。かくしたてせずにすなおにいけんをのべることをいみします。
crude,原油の、天然の,げんゆの、てんねんの
impose,ルールを強制する。,るーるをきょうせいする。
owing to,のために、のおかげで,のために、のおかげで
praise,称賛する、賞賛する,しょうさんする、しょうさんする
a kind of,一種の,いっしゅの
feast,ごちそう、宴会、豊富な食事。,ごちそう、えんかい、ほうふなしょくじ。
plea,真剣な願いや嘆願、または弁解。,しんけんなねがいやたんがん、またはべんかい。
iceberg,氷山、巨大な氷の塊,ひょうざん、きょだいなこおりのかい
surgery,外科手術、診療所,げかしゅじゅつ、しんりょうじょ
celebrate,祝う、祝福する,いわう、しゅくふくする
contentment,満足、満悦,まんぞく、まんえつ
productivity,生産性、生産力。効率的に成果を上げる能力。,せいさんせい、せいさんりょく。こうりつてきにせいかをあげるのうりょく。
while,～する間。あることが行われている間に、同時に別のことが行われることを表す。,~するかん。あることがおこなわれているまに、どうじにべつのことがおこなわれることをあらわす。
lurid,赤く輝いた、毒々しい,あかくかがやいた、どくどくしい
conservatively,政策や意見が保守的な方法で。,せいさくやいけんがほしゅてきなほうほうで。
ornate,華やかな、豪華な,はなやかな、ごうかな
kill oneself,自殺する、自害する,じさつする、じがいする
fast,速い,はやい
gulf,湾,わん
childhood,子供時代、幼少期の期間。,こどもじだい、ようしょうきのきかん。
whirlwind,旋風、つむじ風、竜巻,せんぷう、つむじかぜ、たつまき
norm,規範、基準,きはん、きじゅん
penniless,無一文の,むいちもんの
construction,建設、または建造。建物やインフラを作る過程を指します。,けんせつ、またはけんぞう。たてものやいんふらをつくるかていをさします。
disposal,処分、廃棄、始末,しょぶん、はいき、しまつ
speculate,推測する、投機する,すいそくする、とうきする
encourage to,するように励ます,するようにはげます
distinctive,他と区別できる特徴的な様子,ほかとくべつできるとくちょうてきなようす
ask 人 about,人に～について聞く,にんに~についてきく
nick,刻み目,きざみめ
impassive,無表情の,むひょうじょうの
turn into,に変わる、に転ずる,にかわる、にてんずる
brave,勇敢な,ゆうかんな
emerging,新興の、台頭しつつある,しんこうの、たいとうしつつある
pang,激痛,げきつう
aside,わきに、別として、さておき。,わきに、わかとして、さておき。
assess,評価する、査定する。価値や能力を判断すること。,ひょうかする、さていする。かちやのうりょくをはんだんすること。
play a role in,において役割を果たす,においてやくわりをはたす
lemon,失敗、欠陥品,しっぱい、けっかんひん
hail from,の出身である、(船が)から来る,のしゅっしんである、(ふねが)からくる
void,無効の,むこうの
give a hand,に手を貸す,にてをかす
training regimen,計画的な練習,けいかくてきなれんしゅう
in conclusion,結論として、最終的に,けつろんとして、さいしゅうてきに
sergeant,軍曹,ぐんそう
impulse,衝動、突発的な欲求,しょうどう、とっぱつてきなよっきゅう
encryption,暗号化,あんごうか
competitor,競争相手・ライバル会社,きょうそうあいて・らいばるかいしゃ
lisp,舌足らずに発音する,したたらずにはつおんする
altruistic,利他的な,りたてきな
faithful,忠実な、誠実な,ちゅうじつな、せいじつな
king,王様,おうさま
unstable,不安定な、ゆらぎやすい,ふあんていな、ゆらぎやすい
ineffable,言葉で言い表せない、言葉では言い尽くせない,ことばでいいあらわせない、ことばではいいつくせない
other,ほかの,ほかの
by way of,～経由で,~けいゆで
attendance,出席、参加。学校や会議などへの出席状況。「出席率」など。,しゅっせき、さんか。がっこうやかいぎなどへのしゅっせきじょうきょう。「しゅっせきりつ」など。
cartoon,アニメや漫画、風刺画,あにめやまんが、ふうしが
marquee,テント、ひさし,てんと、ひさし
denial,否定、拒絶、拒否,ひてい、きょぜつ、きょひ
visage,顔,かお
laura,女性名、伝統的,じょせいめい、でんとうてき
evident,明らかな、明白な,あきらかな、めいはくな
in large,大規模に、概して,だいきぼに、がいして
trivia,些細な事,ささいなこと
enjoin,命じる,めいじる
disgrace,不名誉、恥辱、失墜した名誉。,ふめいよ、ちじょく、しっついしためいよ。
inactive,活動停止中の、不活発な状態,かつどうていしちゅうの、ふかっぱつなじょうたい
truth,真実、事実,しんじつ、じじつ
papaya,パパイヤ,ぱぱいや
opinion,個人の考えや意見。,こじんのかんがえやいけん。
exert oneself to,するために努力する、するために尽力する,するためにどりょくする、するためにじんりょくする
impudent,厚かましい,あつかましい
be known as,として知られている、として認知されている,としてしられている、としてにんちされている
trinity,三位一体、三つ,さんみいったい、みっつ
empirical,経験に基づいた、実績からの,けいけんにもとづいた、じっせきからの
be unable to,できない,できない
corresponding,一致する、相応する。,いっちする、ふさわする。
pull off,もぎ取る、成功を掴む,もぎとる、せいこうをつかむ
stature,身長、身の丈,しんちょう、みのたけ
tap,軽くたたく、軽く打つ,かるくたたく、かるくうつ
Jewish,ユダヤ人、ユダヤ教徒,ゆだやにん、ゆだやきょうと
potentially,潜在的に、可能性がある。,せんざいてきに、かのうせいがある。
arise from,から生じる,からしょうじる
adorn,を飾る,をかざる
crown,王冠、王座,おうかん、おうざ
wrinkle,しわ,しわ
since then,それ以来、それ以降,それいらい、それいこう
under way,進行中で、進行する,しんこうちゅうで、しんこうする
agony,ひどい肉体的苦痛。,ひどいにくたいてきくつう。
between A and B,A と B の間にある、A から B まで,A と B のまにある、A から B まで
repress,を抑圧する、鎮圧する,をよくあつする、ちんあつする
buyer,買い手、購入者,かいて、こうにゅうしゃ
repatriate,送還する,そうかんする
be worried about,のことで心配している,のことでしんぱいしている
often,しばしば、よく,しばしば、よく
tout,うるさく勧誘する、しつこく誘う,うるさくかんゆうする、しつこくさそう
boast,自慢する、誇示する,じまんする、こじする
read off,を読み上げる、すらすら読む、声に出して読む,をよみあげる、すらすらよむ、こえにだしてよむ
pliant,しなやかな,しなやかな
debunk,正体を暴露する,しょうたいをばくろする
stand to reason,筋が通る、道理にかなう,すじがとうる、どうりにかなう
homemade,手作りの,てづくりの
companion,連れ、親しい仲間,つれ、したしいなかま
intrigue,陰謀,いんぼう
at ease,気楽に、気負いなく,きらくに、きおいなく
plebiscite,国民投票、普通選挙,こくみんとうひょう、ふつうせんきょ
civilize,文明化する、開化させる,ぶんめいかする、かいかさせる
ancestral,先祖の、祖先の,せんぞの、そせんの
top banana,一番偉い人,いちばんえらいにん
short-term,短期の,たんきの
pull into,引き入れる、引き込む,ひきいれる、ひきこむ
pronoun,代名詞,だいめいし
phenomenon,特異な現象や事象。,とくいなげんしょうやじしょう。
foretell,を予告する、予言する,をよこくする、よげんする
chop,刻む,きざむ
chivalry,騎士道,きしみち
grumble,不平、不満,ふへい、ふまん
commemoration,記念,きねん
wipe off,をふき拭い取る,をふきぬぐいとる
refuse,提案や要求を拒否すること。,ていあんやようきゅうをきょひすること。
excited,興奮した,こうふんした
animal,動物,どうぶつ
blurry,ぼやけた,ぼやけた
portable,持ち運び可能な、携帯できる,もちはこびかのうな、けいたいできる
aouvenir,お土産、記念品,おみやげ、きねんひん
as far as I know,私の知る限り,わたしのしるかぎり
conveniently,利便性が高く、便利に。,りべんせいがたかく、べんりに。
commandments,掟,おきて
artistic,芸術に関連する、創造的な。,げいじゅつにかんれんする、そうぞうてきな。
in public,人前で,ひとまえで
lesser,より少ない、いっそう少ない,よりすくない、いっそうすくない
pass on,通り過ぎる、を伝える,とうりすぎる、をつたえる
pilfer,くすねる,くすねる
catch a glimpse of,をちらっと見る、垣間見る,をちらっとみる、かいまみる
commit suiside,自殺する,じさつする
sardonic,冷笑的な、皮肉な,れいしょうてきな、ひにくな
paste,のり、接着剤,のり、せっちゃくざい
incest,近親相姦、近親関係,きんしんそうかん、きんしんかんけい
locale,現場,げんば
can,～できる,~できる
commandment,命令、指示、指令,めいれい、しじ、しれい
practice,練習する、実践する。技能を向上させるための反復。,れんしゅうする、じっせんする。ぎのうをこうじょうさせるためのはんぷく。
wicked,道徳的に悪い性質。,どうとくてきにわるいせいしつ。
insatiable,強欲な、貪欲な,ごうよくな、どんよくな
disappearance,失踪、消滅,しっそう、しょうめつ
inflict A on B,BにAを与える、負わせる,BにAをあたえる、おわせる
flaunt,誇示する、見せびらかす,こじする、みせびらかす
secession,離脱、退出すること,りだつ、たいしゅつすること
cut back on,削減する,さくげんする
negligible,取るに足らない,とるにたらない
transfer,転送する、乗り換える。情報を別の場所に移す、または移動手段を変えることを意味します。,てんそうする、のりかえる。じょうほうをべつのばしょにうつす、またはいどうしゅだんをかえることをいみします。
under fire,攻撃を受けて、批判を受けて,こうげきをうけて、ひはんをうけて
graveyard,墓地、霊園,ぼち、れいえん
eccentric,風変わりな、普通でない,かぜかわりな、ふつうでない
indomitable,屈しない、不屈の,くしない、ふくつの
cross out,線を引いて消す、を抹消する,せんをひいてけす、をまっしょうする
interpretive,解釈の,かいしゃくの
an apple a day,健康維持の秘訣,けんこういじのひけつ
utterance,発言、発声,はつげん、はっせい
wean,離乳させる,りにゅうさせる
capture,を捕まえる、捉える,をつかまえる、とらえる
complain of,の不満を漏らす、について苦情を言う,のふまんをもらす、についてくじょうをいう
unveil,秘密や真実を明らかにする。,ひみつやしんじつをあきらかにする。
late,遅い,おそい
deadlock,行き詰まり,いきつまり
surge,波打つ、急に上がる,なみうつ、きゅうにあがる
tutorial,教育目的の家庭教師や指導内容。,きょういくもくてきのかていきょうしやしどうないよう。
impending,起こりそうな、可能性がある,おこりそうな、かのうせいがある
debtor,債務者、借金者,さいむしゃ、しゃっきんもの
reminiscent,思い出させる,おもいださせる
mold,鋳型、型造り・型どる,いがた、かたつくり・かたどる
accountancy,会計業務、経理専門職,かいけいぎょうむ、けいりせんもんしょく
debilitate,衰弱させる、弱める,すいじゃくさせる、よわめる
epitomize,縮める,ちぢめる
vandalism,破壊行為、破壊的な行い,はかいこうい、はかいてきなおこない
shopping,買い物,かいもの
innate,生まれつきの、先天的な,うまれつきの、せんてんてきな
quality,品質、質。,ひんしつ、しつ。
proclaim,公に宣言すること、広く知らせる。,こうにせんげんすること、ひろくしらせる。
distributed,配布した、分配した,はいふした、ぶんぱいした
flee,逃げる、逃走する,にげる、とうそうする
component,構成要素、部品,こうせいようそ、ぶひん
more and more,ますます多くの、更に,ますますおおくの、さらに
oblivion,忘却,ぼうきゃく
subsidiary,親会社の子会社。,おやがいしゃのこがいしゃ。
revere,尊敬する,そんけいする
exorbitant,法外な、途方もない,ほうがいな、とほうもない
at face value,額面通り、表面通りの価値で,がくめんとうり、ひょうめんとうりのかちで
cuddle,を抱きしめる,をだきしめる
reportedly,伝えられるところでは、噂によれば。,つたえられるところでは、うわさによれば。
plum,すもも、プラム,すもも、ぷらむ
lead to,に導く、～につながる,にみちびく、~につながる
argument,議論、口論,ぎろん、こうろん
yeasty,発酵する、活発な,はっこうする、かっぱつな
account,説明や理由を提供すること、または銀行口座のこと。,せつめいやりゆうをていきょうすること、またはぎんこうこうざのこと。
broach,先の尖ったもの,さきのせんったもの
itinerary,旅程、旅行計画表。旅行や出張の日程や行程を示した予定表。,りょてい、りょこうけいかくおもて。りょこうやしゅっちょうのにっていやこうていをしめしたよていひょう。
orbit,軌道、周回,きどう、しゅうかい
stunt,発育を妨げる、成長を阻害する,はついくをさまたげる、せいちょうをそがいする
mane,たてがみ,たてがみ
more than,より多い,よりおおい
reaction,反応、反響,はんのう、はんきょう
petite,小柄な、華奢な,こがらな、きゃしゃな
no sweat,容易に、お安い御用で,よういに、おやすいごようで
in chorus,声を揃えて,こえをそろえて
round and round,グルグルと、うろうろと,ぐるぐると、うろうろと
schematic,概略図の,がいりゃくずの
tell to ～,に～するように言う,に~するようにいう
formal,形式的な、公式の。正式な場面や文書で使用される。,けいしきてきな、こうしきの。せいしきなばめんやぶんしょでしようされる。
quash rumors,噂を抑制する、否定する,うわさをよくせいする、ひていする
encourage to ～,に～するように促す,に~するようにうながす
ambivalent,意味:矛盾した感情を持つ、複雑な気持ち。好きと嫌い、賛成と反対など相反する感情が共存している状態。,いみ:むじゅんしたかんじょうをもつ、ふくざつなきもち。すきときらい、さんせいとはんたいなどあいはんするかんじょうがきょうぞんしているじょうたい。
instruction,指示、指導,しじ、しどう
whom,誰を,だれを
brace,支える,ささえる
lunge,突進、急進,とっしん、きゅうしん
at intervals,飛び飛びに、時々,とびとびに、ときどき
best for,～にとって最良の、～に最適である,~にとってさいりょうの、~にさいてきである
dispute,意見の不一致や争い。,いけんのふいっちやあらそい。
cloud,雲,くも
traffic,車や人が道路上を行き来すること、交通。,くるまやにんがどうろじょうをいききすること、こうつう。
talk,話す,はなす
meditate,瞑想する、熟考する,めいそうする、じゅっこうする
knee,ひざ,ひざ
foyer,休憩室、待合室,きゅうけいしつ、まちあいしつ
strong,強い,つよい
consult,助言や意見を求めて話を聞く、相談する。,じょげんやいけんをもとめてはなしをきく、そうだんする。
all right,大丈夫、了解,だいじょうぶ、りょうかい
in connection with,～に関連して,~にかんれんして
here,ここに,ここに
poison,毒、毒物,どく、どくぶつ
preemptive,先制の,せんせいの
ammunition,弾薬,だんやく
incredible,信じられない、驚くべき。通常では考えられないほどすごい。,しんじられない、おどろくべき。つうじょうではかんがえられないほどすごい。
loot,戦利品、略奪物,せんりひん、りゃくだつもの
solicit,要請する、懇願する,ようせいする、こんがんする
hands-on,実践的な、体験型の,じっせんてきな、たいけんかたの
or so,～かそこら,~かそこら
gaudy,派手,はで
afterwards,その後で、後に,そのあとで、のちに
recess,休憩や一時的な休み。,きゅうけいやいちじてきなやすみ。
vice president,副社長、副大統領。組織の二番目の地位。,ふくしゃちょう、ふくだいとうりょう。そしきのにばんめのちい。
absolute,絶対的な、完全な,ぜったいてきな、かんぜんな
steadfast,固定した、確固とした,こていした、かっことした
optimism,楽観主義,らくかんしゅぎ
used,使った,つかった
for the most part,大部分は,だいぶぶんは
rise and shine,起き上がる、起床する,おきあがる、きしょうする
invader,侵略者、侵入者,しんりゃくしゃ、しんにゅうしゃ
banal,平凡な,へいぼんな
despicable,意味:卑劣な、軽蔑に値する。人としての倫理や道徳を欠いた行動や性質に対して使われる。,いみ:ひれつな、けいべつにあたいする。にんとしてのりんりやどうとくをかいたこうどうやせいしつにたいしてつかわれる。
behave oneself,行儀良くする,ぎょうぎよくする
layover,乗り継ぎ時間,のりつぎじかん
repulse,追い払う,おいはらう
worthy of,ふさわしくて、に値して,ふさわしくて、にあたいして
saturation,飽和,ほうわ
compassionate,思いやりのある、情け深い,おもいやりのある、なさけぶかい
quarrelsome,議論好きな、論争好きな,ぎろんずきな、ろんそうすきな
inject,注入する,ちゅうにゅうする
holy,神聖な、聖なる,しんせいな、ひじりなる
reckoning,計算、清算,けいさん、せいさん
sign,合図、標識。あることを示すもの。,あいず、ひょうしき。あることをしめすもの。
physicist,物理学者,ぶつりがくしゃ
intervention,介在、仲裁,かいざい、ちゅうさい
emanate,発する、出す,はっする、だす
odd,変わった、奇妙な、不自然な。,かわった、きみょうな、ふしぜんな。
salt,塩,しお
nomadic,遊牧の、移動する,ゆうぼくの、いどうする
knowledge is power,知識は力なり,ちしきはちからなり
